Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"121088|FJ715692.1 Ostreobium quekettii strain 6.99 translation elongation factor-1 alpha mRNA, partial cds",180,0,285,41.75,43.16,96.75,231.71,4.01,179.75,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"121088|FJ715720.1 Ostreobium quekettii strain 6.99 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",62952,0,1285,34.32,37.04,92.65,269.96,266.38,62950.87,1e-26,33104,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,,,
"38705|FP095939.1 Phyllostachys edulis cDNA clone: bphylf061o11, full insert sequence",776,0,1204,41.11,45.85,89.67,218.12,4.43,774.94,1e-26,38820,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,,,
"9606|GQ145589.1 Homo sapiens isolate MNX4 16S ribosomal RNA gene, partial sequence; mitochondrialGQ145593.1 Homo sapiens isolate MNX2 16S ribosomal RNA gene, partial sequence; mitochondrial",160,0,261,75.86,76.63,99.0,130.5,3.85,159.77,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"97495|FN392558.1 Imantonia rotunda partial mRNA for actin, contig 15964",816,0,545,26.79,28.81,92.99,347.13,7.51,815.52,1e-26,73028,Eukaryota,Eukaryota;_unk_k,None;_unk_p,Haptophyceae,Prymnesiales,,,
"88036|XM_002964795.1 Selaginella moellendorffii hypothetical protein (YLS8-2), partial mRNA",232,0,429,29.6,34.27,86.39,291.84,1.66,231.62,1e-26,3244,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,,,
"3068|XM_002953713.1 Volvox carteri f. nagariensis component of cytosolic 80S ribosome and 60S large subunit (rpl40), mRNA",152,0,210,66.19,72.86,90.85,137.25,5.47,151.81,1e-26,3042,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,,,
"88271|AB561050.1 Picocystis salinarum chloroplast PsbA gene for photosystem II D1 apoprotein, partial cds, strain: CCMP1897",86224,0,703,22.62,28.02,80.71,356.85,794.35,86223.38,1e-26,3041,Eukaryota,Viridiplantae,Chlorophyta,,,,,
"389195|AB576038.1 Hydrolithon reinboldii chloroplast psbA gene for photosystem II protein D1, partial cds, specimen_voucher: RYU:A0015",1016828,0,853,50.76,53.69,94.54,186.24,7394.48,1016827.26,1e-26,31395,Eukaryota,Eukaryota;_unk_k,Rhodophyta,Florideophyceae,Corallinales,,,
"871653|AB576039.1 Hydrolithon murakoshii chloroplast psbA gene for photosystem II protein D1, partial cds, specimen_voucher: RYU:A0009",2373308,0,853,66.82,71.51,93.44,139.84,8856.07,2373307.28,1e-26,31395,Eukaryota,Eukaryota;_unk_k,Rhodophyta,Florideophyceae,Corallinales,,,
"670|JF327794.1 Vibrio parahaemolyticus strain FSP367/07 extended-spectrum beta-lactamase TEM-116 (blaTEM-116) gene, partial cds",912,0,476,82.35,83.61,98.49,119.6,7.55,911.58,1e-26,662,Bacteria,Bacteria;_unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"670|JF327795.1 Vibrio parahaemolyticus strain FSP368/07 extended-spectrum beta-lactamase TEM-116 (blaTEM-116) gene, partial cds",512,0,741,34.68,34.68,100.0,288.33,2.94,511.35,1e-26,670,Bacteria,Bacteria;_unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"432276|HQ828167.1 Staurosira subsalina strain AT_117Gel24 P1373 photosystem II reaction center protein (PsaA) gene, partial cds; chloroplast",7152,0,666,23.72,27.03,87.78,370.0,54.96,7151.41,1e-26,33855,Eukaryota,Eukaryota;_unk_k,Bacillariophyta,Fragilariophyceae,Fragilariales,,,
"203449|FR676901.1 Uncultured marine eukaryote chloroplast partial mRNA for photosystem II protein D1 (psbA gene), clone SC5-90p",14032,0,779,22.21,24.9,89.18,401.55,132.26,14031.31,1e-26,2759,Eukaryota,Eukaryota;_unk_k,None;_unk_p,,,,,
"48948|FJ361441.1 Spongites yendoi isolate ND92 photosystem II D1 protein (psbA) gene, partial cds; plastid",5196,0,836,22.25,23.44,94.9,426.53,34.92,5195.26,1e-26,31395,Eukaryota,Eukaryota;_unk_k,Rhodophyta,Florideophyceae,Corallinales,,,
"646976|FJ361642.1 Corallinales sp. NZC2453 isolate ND419 photosystem II D1 protein-like gene, partial sequence; plastid",11316,0,691,24.31,26.19,92.82,381.77,118.29,11315.39,1e-26,31395,Eukaryota,Eukaryota;_unk_k,Rhodophyta,Florideophyceae,Corallinales,,,
"646972|FJ361658.1 Corallinales sp. NZC2444 isolate ND450 photosystem II D1 protein (psbA) gene, partial cds; plastid",12644,0,478,39.96,43.1,92.72,232.04,197.05,12643.58,1e-26,31395,Eukaryota,Eukaryota;_unk_k,Rhodophyta,Florideophyceae,Corallinales,,,
"48948|FJ361669.1 Spongites yendoi isolate ND133 photosystem II D1 protein (psbA) gene, partial cds; plastid",1260,0,682,18.48,20.38,90.65,490.65,14.07,1259.4,1e-26,31395,Eukaryota,Eukaryota;_unk_k,Rhodophyta,Florideophyceae,Corallinales,,,
"647008|FJ361697.1 Corallinales sp. NZC2508-2 isolate ND618 photosystem II D1 protein (psbA) gene, partial cds; plastid",271896,0,528,72.16,77.27,93.38,129.41,3138.69,271895.54,1e-26,31395,Eukaryota,Eukaryota;_unk_k,Rhodophyta,Florideophyceae,Corallinales,,,
"83794|HE600155.1 Ulva californica plastid partial rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, isolate VE3HE600156.1 Ulva californica plastid partial rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, isolate VE9HE600157.1 Ulva californica plastid partial rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, isolate VE10",54944,0,713,22.58,26.37,85.64,379.26,580.54,54943.37,1e-26,3113,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,,,
"77133|JQ937278.1 Uncultured bacterium beta-lactamase (blaTEM-1) gene, partial cds",492,0,167,94.61,94.61,100.0,105.7,10.4,491.85,1e-26,77133,Bacteria,Bacteria;_unk_k,None;_unk_p,,,,,uncultured bacterium
"10029|KC657174.1 Cricetulus griseus piRNA cgr_piR_022851, complete sequence",56,0,26,100.0,100.0,100.0,100.0,2.0,55.98,1e-13,10029,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus griseus
"34787|JX218022.1 Tautogolabrus adspersus ubiquitin precursor, mRNA, partial cds",236,0,389,31.62,35.48,89.13,281.88,3.71,235.66,1e-26,1489928,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,,,
"292414|HG791640.1 TPA: Ruegeria sp. TM1040 transfer-messenger mRNA Ruege_sp_TM1040, two-piece tmRNA, Coding RNA",916,0,211,71.09,73.93,96.15,135.26,22.83,915.81,1e-26,31989,Bacteria,Bacteria;_unk_k,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
243090|HG525803.1 TPA: Rhodopirellula baltica SH 1 tmRNA gene Rhodo_balti_SH1HG525804.1 TPA: Rhodopirellula baltica SH28 tmRNA gene Rhodo_balti_SH1,672,0,380,32.89,36.84,89.29,271.43,13.64,671.66,1e-26,112,Bacteria,Bacteria;_unk_k,Planctomycetes,Planctomycetia,Planctomycetales,,,
"225937|HG519278.1 TPA: Marinobacter adhaerens HP15 tmRNA gene Marin_adhae_HP15HG781139.1 TPA: Marinobacter adhaerens HP15 transfer-messenger mRNA Marin_adhae_HP15, single chain mature transcript",2168,0,365,90.14,91.23,98.8,109.61,38.33,2167.68,1e-26,2742,Bacteria,Bacteria;_unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,
"393595|HG521580.1 TPA: Alcanivorax borkumensis SK2 tmRNA gene Alcan_borku_SK2HG783441.1 TPA: Alcanivorax borkumensis SK2 transfer-messenger mRNA Alcan_borku_SK2, single chain mature transcript",760,0,357,94.12,95.8,98.25,104.39,11.83,759.69,1e-26,59753,Bacteria,Bacteria;_unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,
335284|LK013876.1 TPA: Psychrobacter cryohalolentis K5 tRNA-Leu-GAG-1-1 gene,48,0,85,41.18,43.53,94.59,229.73,1.74,47.93,5.200000000000001e-10,72274,Bacteria,Bacteria;_unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,,
"176057|XM_010017704.1 PREDICTED: Nestor notabilis ubiquitin (LOC104401496), transcript variant X15, mRNA",516,0,543,21.36,23.02,92.8,434.4,4.76,515.52,1e-26,9223,Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,,,
"1436218|KC685526.1 Ostreobium sp. TeB strain FHL414 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplastKC685527.1 Ostreobium sp. TeB strain FHL423 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",42904,0,1264,19.62,21.12,92.88,473.41,246.6,42902.89,1e-26,33104,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,,,
"1436223|KC685544.1 Ostreobium sp. TeG strain FHL094 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplastKC685552.1 Ostreobium sp. TeG strain FHL093 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",128512,0,1264,19.46,21.68,89.78,461.31,660.28,128510.89,1e-26,33104,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,,,
"31033|XM_003963073.2 PREDICTED: Takifugu rubripes ADP-ribosylation factor 3 (arf3), mRNA",796,0,954,17.4,20.13,86.46,496.88,4.84,795.16,1e-26,31022,Eukaryota,Metazoa,Chordata,Actinopteri,Tetraodontiformes,,,
"1630351|KP223695.1 Cloning vector BASIC_1_MB1, complete sequence",872,0,1591,29.42,29.73,98.94,336.36,2.58,870.6,1e-26,,,unk_sk;_unk_k,None;_unk_p,,,,,
"88764|AK443485.1 Conus episcopatus mRNA, sequence id; Ep642-SF13",160,0,231,34.2,35.93,95.18,278.31,5.21,159.8,1e-26,6489,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,,
145388|XM_014036938.1 Monoraphidium neglectum NADP-dependent glyceraldehydephosphatedehydrogenase subunit A mRNA,444,0,531,20.72,25.8,80.29,387.59,3.35,443.53,1e-26,35491,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,,,
"1683165|KT280001.1 Ostreobium sp. D EC-2015 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",181168,0,841,73.6,76.81,95.82,130.19,1289.76,181167.26,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"1683166|KT280002.1 Ostreobium sp. E EC-2015 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",58428,0,841,95.12,98.22,96.85,101.82,392.45,58427.26,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"1818238|KU361959.1 Ostreobium sp. TS1606 elongation factor tu gene, partial cds; chloroplast",15176,0,874,97.14,100.0,97.14,100.0,96.65,15175.23,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"1818250|KU361971.1 Ostreobium sp. L64 elongation factor tu gene, partial cds; chloroplast",2696,0,894,35.23,35.57,99.06,281.13,13.11,2695.21,1e-26,1818250,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,Ostreobium,Ostreobium sp. L64
"1818255|KU361976.1 Ostreobium sp. TS0991 elongation factor tu gene, partial cds; chloroplast",4460,0,898,59.69,61.69,96.75,162.09,33.47,4459.21,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"1818257|KU361978.1 Ostreobium sp. TS1265 elongation factor tu gene, partial cds; chloroplast",9204,0,719,20.31,20.72,97.99,482.55,55.77,9203.37,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"1818297|KU362018.1 Ostreobium sp. TS1420A elongation factor tu gene, partial cds; chloroplast",580,0,412,46.6,48.54,96.0,206.0,7.5,579.64,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"1818003|KU362165.1 Uncultured Ostreobium voucher Coral Reef Endoliths JP3 clone H elongation factor tu gene, partial cds; chloroplast",4148,0,407,69.04,72.24,95.58,138.44,67.86,4147.64,1e-26,35434,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,,
"328815|XM_018076257.1 PREDICTED: Manacus vitellinus ubiquitin C (UBC), transcript variant X3, mRNA",832,0,850,28.47,32.71,87.05,305.76,5.99,831.25,1e-26,9126,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,,,
"1857651|KT781865.1 Halimeda aff. gracilis CFX-2016 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",992,0,736,32.07,38.32,83.69,260.99,9.55,991.35,1e-26,33104,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,,,
"1905041|KT795105.1 Ostreobium sp. J EC-2016 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",17468,0,841,31.63,33.41,94.66,299.29,148.0,17467.26,1e-26,33104,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,,,
"1905042|KT795106.1 Ostreobium sp. B2 EC-2016 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",27056,0,841,46.02,49.82,92.36,200.72,224.42,27055.26,1e-26,33104,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,,,
"1940403|KY766992.1 Ostreobium sp. HV05007bc isolate sN135 chloroplast, partial genome",2004188,6,21741,90.01,90.3,99.68,110.74,490.14,2004169.6,1e-26,1940403,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,Ostreobium,Ostreobium sp. HV05007bc
"1940403|KY766993.1 Ostreobium sp. HV05007bc isolate sN138 chloroplast, partial genome",28382064,2,21623,94.58,94.95,99.62,105.32,4479.3,28382055.9,1e-26,1940403,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,Ostreobium,Ostreobium sp. HV05007bc
"1940403|KY766994.1 Ostreobium sp. HV05007bc isolate sN155 chloroplast, partial genome",2167256,5,20068,87.96,88.42,99.47,113.09,573.99,2167239.07,1e-26,1940403,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,Ostreobium,Ostreobium sp. HV05007bc
"1940403|KY766996.1 Ostreobium sp. HV05007bc isolate sN197 chloroplast, partial genome",10796064,3,15804,89.24,89.71,99.48,111.47,2149.94,10796053.11,1e-26,1940403,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,Ostreobium,Ostreobium sp. HV05007bc
"88456|XM_022732043.1 Cyclospora cayetanensis hypothetical protein (cyc_01774), partial mRNA",328,0,462,26.62,31.82,83.67,314.29,2.2,327.59,1e-26,75739,Eukaryota,Eukaryota;_unk_k,Apicomplexa,Conoidasida,Eucoccidiorida,,,
"9361|XM_012522520.2 PREDICTED: Dasypus novemcinctus tubulin beta chain (LOC101446006), mRNA",452,0,650,19.85,22.77,87.16,439.19,3.56,451.43,1e-26,948951,Eukaryota,Metazoa,Chordata,Mammalia,Cingulata,,,
